id,family
2528,4942
2530,4853
2532,2527
2533,441
2534,5543
2536,716
2538,1252
2539,1789
2540,3916
2542,5985
2543,331
2545,2873
2546,2466
2547,1597
2548,4464
2550,3804
2551,2809
2552,539
2553,5114
2555,1068
2556,6205
2557,5207
2559,5366
2560,2021
2561,2649
2562,3231
2563,2020
2567,4298
2569,5037
2570,5809
2571,2905
2572,1276
2573,3797
2574,1961
2575,4021
2576,3562
2577,6386
2578,1789
2579,4464
2582,525
2583,3242
2584,2031
2585,2874
2586,5469
2587,1210
2588,4918
2589,5456
2590,4728
2592,6221
2595,4796
2596,3259
2598,6148
2599,2388
2600,3544
2602,3771
2603,5366
2604,5674
2607,2808
2608,232
2609,2516
2612,6120
2613,2740
2614,1235
2615,3164
2616,5479
2617,799
2618,5154
2620,3348
2621,4245
2622,2682
2626,2052
2627,2123
2628,3800
2629,1478
2631,3477
2632,3073
2633,2727
2634,396
2637,1584
2638,3288
2639,4575
2640,5199
2641,19
2642,4128
2644,4274
2645,3808
2646,1255
2647,3214
2648,4333
2650,4493
2652,32
2654,2021
2655,2699
2657,4063
2659,1210
2661,945
2663,4282
2665,2140
2667,4952
2669,335
2672,2613
2674,4196
2676,5873
2677,3996
2678,5207
2679,1361
2680,2650
2682,3906
2684,1928
2686,2293
2687,2052
2688,726
2689,6208
2690,689
2695,5873
2696,4075
2697,4462
2698,648
2699,1787
2700,5192
2701,6032
2702,1580
2703,4561
2704,3146
2705,3360
2706,2977
2709,672
2710,3293
2712,2233
2713,4858
2715,4254
2717,2857
2718,4294
2719,4150
2720,4895
2722,4870
2723,508
2725,4891
2726,2185
2729,5020
2731,4807
2733,855
2734,3318
2735,4484
2737,1281
2742,4825
2743,1613
2744,27
2745,5483
2747,5248
2748,5879
2749,2279
2750,425
2751,2343
2754,3336
2755,5220
2757,1271
2758,5873
2761,2870
2762,2780
2763,5096
2764,6267
2765,5853
2766,4738
2767,4102
2768,4574
2769,3036
2771,897
2772,5909
2773,212
2775,2021
2776,1079
2777,3370
2778,6367
2779,4074
2780,4035
2781,4291
2782,887
2783,3928
2784,271
2785,780
2786,5873
2787,1389
2788,2535
2789,5004
2791,5554
2792,726
2793,3992
2794,643
2795,5528
2796,4269
2798,4836
2805,2042
2806,1252
2809,1702
2810,798
2811,1815
2813,4185
2814,2740
2815,2797
2817,4831
2818,2085
2820,5702
2821,4915
2822,3781
2823,412
2824,4366
2827,2417
2829,3537
2830,290
2831,4251
2833,192
2834,3502
2835,1109
2836,5099
2837,1442
2841,5513
2842,2733
2843,791
2845,582
2846,3142
2848,4875
2849,6163
2851,976
2852,729
2854,138
2855,2743
2857,1210
2859,4937
2860,2175
2861,4779
2862,3612
2863,3074
2865,2064
2867,5165
2868,6209
2869,2339
2870,404
2872,3753
2874,1145
2875,1210
2879,1826
2880,786
2882,1319
2883,2229
2885,4881
2886,3502
2888,5089
2889,3149
2890,1
2891,3715
2892,3320
2893,2879
2894,4058
2896,3769
2897,5811
2898,4216
2899,5581
2902,929
2903,3421
2904,4464
2906,817
2907,503
2908,4615
2910,4344
2911,5892
2913,324
2914,3992
2915,4376
2916,5671
2918,6239
2919,152
2920,6088
2922,5824
2924,57
2925,390
2926,2075
2927,2014
2928,738
2933,417
2934,4900
2935,5354
2936,3786
2937,6032
2940,6118
2941,3686
2944,683
2947,697
2948,1445
2949,3259
2950,4065
2951,2504
2952,605
2953,4255
2954,950
2955,65
2956,2279
2957,3465
2960,836
2961,179
2962,5399
2963,6101
2964,453
2965,5455
2966,2928
2967,1932
2969,2801
2970,5688
2972,5499
2973,1943
2974,2841
2975,3670
2976,2699
2977,4393
2980,4528
2985,5004
2987,3911
2988,3189
2989,1421
2991,6088
2992,4733
2993,1020
2995,1220
2996,2815
2998,3174
2999,4464
3001,4582
3002,5469
3003,801
3004,5579
3005,14
3006,3211
3007,1706
3011,5952
3012,3713
3013,5216
3015,882
3016,1663
3018,3582
3020,4611
3021,3633
3022,323
3023,643
3024,4553
3025,5128
3026,1590
3027,1324
3028,3801
3029,548
